sample	height	length	width	weight	loc	type	date
6_15	207.7 	98.4 	72.1 	1027.8 	Dongying	Northern_Cari	2019_10
6_16	194.9 	126.7 	65.9 	905.4 	Dongying	Northern_Cari	2019_10
6_17	212.9 	89.7 	71.9 	749.9 	Dongying	Northern_Cari	2019_10
6_18	188.8 	123.4 	50.7 	747.3 	Dongying	Northern_Cari	2019_10
6_19	183.4 	95.5 	52.5 	585.4 	Dongying	Northern_Cari	2019_10
6_2	317.5 	94.2 	60.8 	1543.6 	Dongying	Northern_Cari	2019_10
6_20	175.1 	108.0 	55.0 	668.4 	Dongying	Northern_Cari	2019_10
6_21	163.1 	90.6 	53.3 	422.3 	Dongying	Northern_Cari	2019_10
6_22	246.3 	93.5 	49.2 	697.4 	Dongying	Northern_Cari	2019_10
6_23	188.2 	101.9 	60.1 	676.9 	Dongying	Northern_Cari	2019_10
6_3	234.6 	104.8 	58.5 	1018.5 	Dongying	Northern_Cari	2019_10
6_4	252.4 	116.5 	62.7 	1381.4 	Dongying	Northern_Cari	2019_10
6_5	241.2 	103.5 	43.4 	759.5 	Dongying	Northern_Cari	2019_10
6_6	229.5 	114.1 	45.8 	781.3 	Dongying	Northern_Cari	2019_10
6_7	213.4 	100.6 	57.3 	797.4 	Dongying	Northern_Cari	2019_10
6_8	224.7 	111.6 	44.8 	707.7 	Dongying	Northern_Cari	2019_10
6_9	251.4 	114.3 	53.1 	1014.4 	Dongying	Northern_Cari	2019_10
CO1_1	266.9 	112.2 	33.5 	777.2 	Dongying	Northern_Cari	2019_11
CO1_10	315.1 	102.2 	56.9 	1149.0 	Dongying	Northern_Cari	2019_11
CO1_11	205.7 	105.6 	66.3 	945.8 	Dongying	Northern_Cari	2019_11
CO1_12	246.6 	109.9 	63.7 	931.3 	Dongying	Northern_Cari	2019_11
CO1_13	235.7 	98.4 	62.9 	1058.0 	Dongying	Northern_Cari	2019_11
CO1_14	249.8 	101.7 	48.5 	959.6 	Dongying	Northern_Cari	2019_11
CO1_15	255.7 	88.1 	51.3 	674.2 	Dongying	Northern_Cari	2019_11
CO1_16	243.1 	111.8 	55.5 	1007.7 	Dongying	Northern_Cari	2019_11
CO1_17	198.0 	98.3 	61.1 	822.2 	Dongying	Northern_Cari	2019_11
CO1_18	232.6 	103.3 	60.7 	811.6 	Dongying	Northern_Cari	2019_11
CO1_19	242.8 	98.3 	56.2 	879.3 	Dongying	Northern_Cari	2019_11
CO1_2	256.8 	101.3 	71.0 	1102.9 	Dongying	Northern_Cari	2019_11
CO1_20	230.0 	103.1 	52.2 	895.7 	Dongying	Northern_Cari	2019_11
CO1_21	227.6 	91.3 	58.1 	833.6 	Dongying	Northern_Cari	2019_11
